Term,Definition,L1_Category,L2_Subcategory,Resource_Type,Priority
Responsible AI,Practices ensuring AI systems are fair transparent accountable and safe,AI/ML,Operations,Practice,Core
AI Ethics,Principles guiding ethical development and deployment of AI systems,AI/ML,Operations,Concept,Core
Model Cards,Documentation describing ML model intended use performance and limitations,AI/ML,Operations,Concept,Advanced
Differential Privacy,Mathematical framework adding noise to protect individual privacy in datasets,AI/ML,Operations,Technology,Advanced
Data Clean Room,Secure environment for multiple parties to analyze combined data without sharing raw data,DATA,Governance,Technology,Advanced
Privacy-Enhancing Technologies (PETs),Technologies enabling data analysis while protecting privacy,DATA,Governance,Technology,Advanced
Synthetic Data,Artificially generated data mimicking real data for testing and training,DATA,Quality,Technology,Advanced
Federated Learning,ML approach training models across decentralized data without data sharing,AI/ML,Training,Technology,Advanced
Confidential Computing,Hardware-based isolation protecting data during processing,SECURITY,Encryption,Technology,Advanced
SLSA (Supply chain Levels for Software Artifacts),Framework for ensuring integrity of software artifacts,SECURITY,Compliance,Framework,Advanced
CNAPP (Cloud-Native Application Protection Platform),Unified security platform for cloud-native applications,SECURITY,Compliance,Technology,Advanced
CIEM (Cloud Infrastructure Entitlement Management),Managing identities and permissions across cloud environments,SECURITY,Access,Technology,Advanced
XDR (Extended Detection and Response),Unified security incident detection and response across multiple layers,SECURITY,Compliance,Technology,Advanced
Policy as Code,Managing security and compliance policies as version-controlled code,SECURITY,Compliance,Practice,Core
OpenTelemetry,Open-source observability framework for traces metrics and logs,DEVOPS,Observability,Technology,Core
DataOps,Agile methodology for data pipeline development and operations,DATA,Quality,Practice,Core
Semantic Versioning,Versioning scheme (MAJOR.MINOR.PATCH) communicating compatibility,SOFTWARE,Patterns,Practice,Advanced
API-First Design,Development approach designing API contracts before implementation,SOFTWARE,Architecture,Practice,Core
Internal Developer Platform (IDP),Self-service platform providing developers with tools and workflows,DEVOPS,Automation,Technology,Core-N
Developer Experience (DevEx),Practice of optimizing developer productivity and satisfaction,DEVOPS,Automation,Practice,Core-N
FinOps Maturity Model,Framework for assessing and improving cloud financial management,BUSINESS,Finance,Framework,Advanced-N
GreenOps,Practices optimizing IT operations for environmental sustainability,DEVOPS,Reliability,Practice,Advanced
Carbon-Aware Computing,Scheduling workloads based on carbon intensity of power grid,CLOUD,Resilience,Practice,Advanced-N
Value Stream Mapping,Lean technique visualizing flow of materials and information,PM,Agile,Practice,Core
DORA Metrics,DevOps Research and Assessment metrics (deployment frequency lead time MTTR change failure rate),DEVOPS,Reliability,Metric,Core
Engineering Metrics,Quantitative measures of software development performance and quality,DEVOPS,Reliability,Metric,Advanced
Trunk-Based Development,Source control branching model with short-lived branches,DEVOPS,Deployment,Practice,Core
Progressive Delivery,Deployment strategy combining feature flags canary releases and experimentation,DEVOPS,Deployment,Practice,Advanced
Chaos Engineering,Discipline of experimenting on systems to build confidence in resilience,DEVOPS,Reliability,Practice,Core
Game Day,Scheduled exercise simulating failure scenarios to test incident response,DEVOPS,Reliability,Practice,Advanced
Blameless Postmortem,Incident review focused on system improvement without individual blame,DEVOPS,Reliability,Practice,Core
Error Budget,Allowable amount of unreliability before prioritizing stability over features,DEVOPS,Reliability,Concept,Core
SLO-Based Alerting,Alerting strategy based on error budget consumption rate,DEVOPS,Observability,Practice,Advanced
Golden Signals,Four key metrics for monitoring (latency traffic errors saturation),DEVOPS,Observability,Concept,Core
Distributed Tracing,Tracking requests across multiple services to diagnose performance issues,DEVOPS,Observability,Technology,Core
Span,Single unit of work in a distributed trace,DEVOPS,Observability,Concept,Advanced
Trace Context,Metadata propagated across services to correlate distributed operations,DEVOPS,Observability,Concept,Advanced
Service Registry,Registry of services with ownership documentation and dependencies,DEVOPS,Automation,Technology,Advanced
API Gateway Pattern,Centralized entry point handling cross-cutting concerns for microservices,SOFTWARE,Patterns,Pattern,Core
Backend for Frontend (BFF),API layer tailored to specific frontend client needs,SOFTWARE,Patterns,Pattern,Advanced
Sidecar Pattern,Deploying helper components alongside primary service container,SOFTWARE,Patterns,Pattern,Advanced
Ambassador Pattern,Helper service handling network communication on behalf of main service,SOFTWARE,Patterns,Pattern,Advanced
Strangler Fig Pattern,Incrementally replacing legacy system by routing traffic to new implementation,SOFTWARE,Patterns,Pattern,Advanced
Anti-Corruption Layer,Translation layer protecting domain model from external system complexity,SOFTWARE,Patterns,Pattern,Advanced
SOA (Service-Oriented Architecture),Enterprise architecture using loosely coupled services communicating via protocols,SOFTWARE,Architecture,Pattern,Core
ESB (Enterprise Service Bus),Middleware for integrating enterprise applications through message routing,SOFTWARE,Architecture,Technology,Advanced
Legacy System,Outdated technology still in use due to business criticality or migration complexity,SOFTWARE,Architecture,Concept,Core
Legacy Modernization,Strategy for updating or replacing outdated systems while maintaining business continuity,SOFTWARE,Architecture,Practice,Advanced
COTS (Commercial Off-The-Shelf),Pre-built software purchased rather than custom developed,SOFTWARE,Architecture,Concept,Advanced
Build vs Buy,Decision framework evaluating custom development against purchasing existing solutions,SOFTWARE,Architecture,Concept,Core
Vendor Lock-in,Dependency on vendor making it costly to switch to alternatives,SOFTWARE,Architecture,Concept,Core
Open Standards,Publicly available specifications enabling interoperability across vendors,SOFTWARE,Architecture,Concept,Core
Interoperability,Ability of systems to exchange and use information across organizational boundaries,SOFTWARE,Architecture,Concept,Core
Data Portability,Ability to transfer data between systems without loss of meaning or structure,DATA,Governance,Concept,Core
N-Tier Architecture,Layered architecture separating presentation logic and data tiers,SOFTWARE,Architecture,Pattern,Core
Clean Architecture,Architecture with concentric layers and dependency rule pointing inward,SOFTWARE,Architecture,Pattern,Core
Layered Architecture,Architecture organizing code into horizontal layers with specific responsibilities,SOFTWARE,Architecture,Pattern,Core
MVC (Model-View-Controller),Pattern separating data (Model) UI (View) and logic (Controller),SOFTWARE,Patterns,Pattern,Core
Repository Pattern,Abstraction layer between domain and data mapping layers,SOFTWARE,Patterns,Pattern,Core
Unit of Work,Pattern maintaining list of objects affected by transaction and coordinating changes,SOFTWARE,Patterns,Pattern,Advanced
Factory Pattern,Creational pattern for creating objects without specifying exact class,SOFTWARE,Patterns,Pattern,Core
Singleton Pattern,Pattern ensuring class has only one instance with global access point,SOFTWARE,Patterns,Pattern,Advanced
Observer Pattern,Pattern where objects subscribe to events from another object,SOFTWARE,Patterns,Pattern,Advanced
Strategy Pattern,Pattern enabling selecting algorithm at runtime,SOFTWARE,Patterns,Pattern,Advanced
Adapter Pattern,Pattern allowing incompatible interfaces to work together,SOFTWARE,Patterns,Pattern,Advanced
Facade Pattern,Pattern providing simplified interface to complex subsystem,SOFTWARE,Patterns,Pattern,Advanced
Decorator Pattern,Pattern adding behavior to objects dynamically without affecting others,SOFTWARE,Patterns,Pattern,Advanced
Dependency Injection,Pattern providing dependencies to objects rather than objects creating them,SOFTWARE,Patterns,Pattern,Core
Inversion of Control (IoC),Principle where framework controls program flow rather than custom code,SOFTWARE,Principles,Concept,Core
SOAP (Simple Object Access Protocol),XML-based messaging protocol for web services,SOFTWARE,Patterns,Protocol,Advanced
WSDL (Web Services Description Language),XML format describing web service interfaces and bindings,SOFTWARE,Patterns,Protocol,Advanced
gRPC,High-performance RPC framework using Protocol Buffers,SOFTWARE,Patterns,Technology,Advanced
Protocol Buffers,Language-neutral binary serialization format by Google,SOFTWARE,Patterns,Technology,Advanced
OpenAPI/Swagger,Specification for describing RESTful APIs in machine-readable format,SOFTWARE,Patterns,Framework,Core
AsyncAPI,Specification for describing event-driven and asynchronous APIs,SOFTWARE,Patterns,Framework,Advanced
JSON Schema,Vocabulary for annotating and validating JSON documents,SOFTWARE,Patterns,Framework,Advanced
HATEOAS,REST constraint where responses include hypermedia links for navigation,SOFTWARE,Architecture,Concept,Advanced
CAP Theorem,Distributed system can only guarantee two of: Consistency Availability Partition tolerance,SOFTWARE,Architecture,Concept,Core
BASE,Distributed system properties: Basically Available Soft-state Eventually consistent,SOFTWARE,Architecture,Concept,Advanced
Eventual Consistency,Consistency model where system becomes consistent over time without guarantees,SOFTWARE,Architecture,Concept,Core
Strong Consistency,Consistency model where all nodes see same data at same time,SOFTWARE,Architecture,Concept,Advanced
Optimistic Locking,Concurrency control allowing concurrent access checking for conflicts at commit,DATA,Platform,Pattern,Advanced
Pessimistic Locking,Concurrency control preventing concurrent access by locking resources,DATA,Platform,Pattern,Advanced
Race Condition,Bug where system behavior depends on timing of uncontrollable events,SOFTWARE,Patterns,Concept,Core
Thread Safety,Code that functions correctly during simultaneous execution by multiple threads,SOFTWARE,Patterns,Concept,Core
Concurrency,Multiple computations executing during overlapping time periods,PROGRAMMING,Algorithms,Concept,Core
Parallelism,Multiple computations executing simultaneously on multiple processors,PROGRAMMING,Algorithms,Concept,Core
Async/Await,Programming pattern for writing asynchronous code in synchronous style,PROGRAMMING,Algorithms,Concept,Core
TDD (Test-Driven Development),Practice writing tests before implementation code,SOFTWARE,Principles,Practice,Core
BDD (Behavior-Driven Development),Practice using natural language to describe system behavior and tests,SOFTWARE,Principles,Practice,Core
Unit Testing,Testing individual components in isolation from dependencies,DEVOPS,Deployment,Practice,Core
Integration Testing,Testing interactions between integrated components or systems,DEVOPS,Deployment,Practice,Core
End-to-End Testing,Testing complete user flows from start to finish,DEVOPS,Deployment,Practice,Core
Contract Testing,Verifying API interactions match agreed contract between consumer and provider,DEVOPS,Deployment,Practice,Advanced
Regression Testing,Verifying existing functionality still works after changes,DEVOPS,Deployment,Practice,Core
Smoke Testing,Quick tests verifying basic functionality works after deployment,DEVOPS,Deployment,Practice,Advanced
Load Testing,Testing system behavior under expected and peak load conditions,DEVOPS,Deployment,Practice,Advanced
Performance Testing,Measuring system responsiveness speed and stability under workload,DEVOPS,Deployment,Practice,Advanced
UAT (User Acceptance Testing),Testing by end users to verify system meets business requirements,DEVOPS,Deployment,Practice,Advanced
Code Coverage,Metric measuring percentage of code executed during testing,DEVOPS,Deployment,Metric,Core
Test Coverage,Metric measuring how much of requirements or code paths are tested,DEVOPS,Deployment,Metric,Advanced
Mutation Testing,Testing technique introducing code changes to verify test effectiveness,DEVOPS,Deployment,Practice,Advanced
Static Analysis,Analyzing code without executing it to find bugs and vulnerabilities,DEVOPS,Deployment,Practice,Core
Linting,Automated checking of code for programmatic and stylistic errors,DEVOPS,Deployment,Practice,Core
Code Review,Systematic examination of code by peers to improve quality,DEVOPS,Deployment,Practice,Core
Pull Request,Request to merge code changes into main branch with review workflow,DEVOPS,Deployment,Process,Core
Architecture Decision Record (ADR),Document capturing important architectural decision with context and consequences,SOFTWARE,Architecture,Process,Advanced
Technical Specification,Document describing technical requirements and design for implementation,SOFTWARE,Architecture,Process,Advanced
Design Document,Detailed technical document describing system design and implementation approach,SOFTWARE,Architecture,Process,Advanced
Clean Code,Code that is readable maintainable and follows established conventions,SOFTWARE,Principles,Concept,Core
Code Smell,Indicator of potential deeper problem in code quality or design,SOFTWARE,Principles,Concept,Core
Refactoring,Restructuring code without changing external behavior to improve quality,SOFTWARE,Principles,Practice,Core
WCAG (Web Content Accessibility Guidelines),W3C guidelines for making web content accessible to people with disabilities,SECURITY,Compliance,Framework,Core
Accessibility Testing,Verifying applications are usable by people with disabilities,DEVOPS,Deployment,Practice,Advanced
Internationalization (i18n),Designing software to support multiple languages and regions,SOFTWARE,Architecture,Practice,Advanced
Localization (l10n),Adapting software for specific language culture and region,SOFTWARE,Architecture,Practice,Advanced
Multi-tenancy Architecture,Single instance serving multiple customers with data isolation,SOFTWARE,Architecture,Pattern,Advanced
Cache-Aside Pattern,Application loads data into cache on demand from data store,SOFTWARE,Patterns,Pattern,Advanced
Write-Through Cache,Cache writes data to both cache and data store simultaneously,SOFTWARE,Patterns,Pattern,Advanced
Read-Through Cache,Cache automatically loads data from data store on cache miss,SOFTWARE,Patterns,Pattern,Advanced
Cache Invalidation,Strategy for removing or updating stale cached data,SOFTWARE,Patterns,Concept,Advanced
Distributed Cache,Cache shared across multiple servers for scalability (Redis Memcached),SOFTWARE,Patterns,Technology,Advanced
In-Memory Cache,Cache stored in application memory for fastest access,SOFTWARE,Patterns,Technology,Advanced
Message Queue,Asynchronous communication mechanism storing messages until processed,SOFTWARE,Architecture,Technology,Core
Message Broker,Middleware translating messages between sender and receiver protocols,SOFTWARE,Architecture,Technology,Core
Pub/Sub (Publish-Subscribe),Messaging pattern where publishers send messages to topics subscribers receive,SOFTWARE,Patterns,Pattern,Advanced
Request-Reply,Messaging pattern where sender expects response from receiver,SOFTWARE,Patterns,Pattern,Advanced
Idempotent Operation,Operation producing same result regardless of how many times executed,SOFTWARE,Patterns,Concept,Core
Stateless Service,Service that does not store client state between requests,SOFTWARE,Architecture,Concept,Core
Stateful Service,Service maintaining client state across requests,SOFTWARE,Architecture,Concept,Advanced
Session Management,Handling user sessions including creation storage and expiration,SECURITY,Access,Practice,Advanced
Technical Documentation,Written descriptions of system architecture design and usage,SOFTWARE,Architecture,Process,Advanced
API Documentation,Documentation describing API endpoints parameters and usage examples,SOFTWARE,Architecture,Process,Advanced
Changelog,Record of notable changes to a project organized by version,SOFTWARE,Patterns,Process,Advanced
Release Notes,Summary of changes features and fixes in a software release,SOFTWARE,Patterns,Process,Advanced
Backwards Compatibility,New version works with data and interfaces from previous versions,SOFTWARE,Architecture,Concept,Core
Breaking Change,Change that requires consumers to modify their code or data,SOFTWARE,Architecture,Concept,Core
Deprecation,Marking feature as obsolete with planned removal in future version,SOFTWARE,Architecture,Practice,Core
Feature Parity,New system matching capabilities of system it replaces,SOFTWARE,Architecture,Concept,Advanced
API Contract,Agreement specifying API endpoints request/response format and behavior,SOFTWARE,Patterns,Concept,Core
Composition over Inheritance,Prefer composing objects over deep class hierarchies; OOP principle,SOFTWARE,Principles,Concept,Core
CRUD,Create Read Update Delete; basic operations on persisted data,SOFTWARE,Patterns,Concept,Core
DRY (Don't Repeat Yourself),Principle of avoiding duplicate code and logic,SOFTWARE,Principles,Concept,Core
Immutability,Data or object that cannot be modified after creation; supports predictability,SOFTWARE,Principles,Concept,Core
Middleware,Software that runs in the request/response pipeline between client and application,SOFTWARE,Architecture,Concept,Core
Webhook,HTTP callback triggered by an event; push model for real-time notifications,SOFTWARE,Patterns,Concept,Core
Event Loop,Mechanism that runs async code; processes queue of tasks (JavaScript Node Python asyncio),SOFTWARE,Patterns,Concept,Core
JavaScript,Dynamic language for web and Node.js; single-threaded with event loop,SOFTWARE,Patterns,Technology,Core
List Comprehension,Concise syntax for creating a list from iterable (Python and other languages),SOFTWARE,Patterns,Concept,Core
Promise (JavaScript),Object representing eventual result of async operation; then/catch chain,SOFTWARE,Patterns,Concept,Core
Python,Interpreted high-level language; widely used for data scripting and backend,SOFTWARE,Patterns,Technology,Core
Public Sector Procurement,Formal process for government purchasing following regulations,BUSINESS,Contracts,Process,Advanced
IRR (Internal Rate of Return),Discount rate making NPV of investment equal to zero,BUSINESS,Finance,Metric,Advanced
Payback Period,Time required to recover initial investment from cash flows,BUSINESS,Finance,Metric,Advanced
Cost-Benefit Analysis,Systematic comparison of costs and benefits to evaluate decisions,BUSINESS,Finance,Practice,Advanced
Due Diligence,Investigation and analysis before major business decision or transaction,BUSINESS,Finance,Practice,Advanced
Business Continuity,Planning and preparation to ensure critical functions continue during disruption,BUSINESS,Finance,Practice,Core
Governance,Framework of rules practices and processes for directing and controlling organization,BUSINESS,Finance,Concept,Core
Risk Management,Identifying assessing and mitigating risks to minimize impact,BUSINESS,Finance,Practice,Core
Compliance,Adherence to laws regulations standards and internal policies,BUSINESS,Finance,Practice,Core
Audit Trail,Chronological record of system activities enabling reconstruction of events,BUSINESS,Finance,Concept,Core
License Management,Tracking and optimizing software licenses to ensure compliance and cost efficiency,BUSINESS,Contracts,Practice,Advanced
Amortization,Spreading cost of intangible asset over its useful life,BUSINESS,Finance,Practice,Advanced
Vendor Assessment,Evaluating potential vendors on capability reliability security and cost,BUSINESS,Contracts,Practice,Advanced
Service Catalog,Menu of IT services available to business with descriptions and SLAs,BUSINESS,Contracts,Concept,Core
Inherent Risk,Risk level before controls or mitigations are applied,BUSINESS,Risk,Concept,Core
Key Risk Indicator (KRI),Metric indicating increasing risk or control weakness; early warning,BUSINESS,Risk,Metric,Core
Residual Risk,Risk remaining after controls and mitigations have been applied,BUSINESS,Risk,Concept,Core
Risk Appetite,Amount of risk organization is willing to accept in pursuit of objectives,BUSINESS,Risk,Concept,Core
Risk Assessment,Process of identifying analyzing and evaluating risks to the organization,BUSINESS,Risk,Process,Core
Risk Tolerance,Acceptable deviation around risk appetite; operational limits and thresholds,BUSINESS,Risk,Concept,Core
TRA (Threat and Risk Assessment),Assessment of threats and associated risks to assets or systems,BUSINESS,Risk,Process,Core
Three Lines of Defense,Model: 1st operations 2nd risk/compliance 3rd internal audit,BUSINESS,Risk,Framework,Core
Change Advisory Board (CAB),Group reviewing and approving changes to minimize risk,PM,Project,Process,Core
Deque (Double-Ended Queue),Queue allowing insertion and removal at both ends; O(1) operations,PROGRAMMING,Structures,Concept,Core
Set,Collection of unique elements; O(1) membership testing,PROGRAMMING,Structures,Concept,Core
Priority Queue,Queue where elements are processed by priority not arrival order,PROGRAMMING,Structures,Concept,Core
Binary Search Tree (BST),Tree where left child < parent < right child; O(log n) average operations,PROGRAMMING,Structures,Concept,Core
Balanced BST,Self-balancing BST (AVL Red-Black) guaranteeing O(log n) operations,PROGRAMMING,Structures,Concept,Core
Adjacency List,Graph representation using list of neighbors per vertex; O(V+E) space,PROGRAMMING,Structures,Concept,Core
Adjacency Matrix,Graph representation using VÃƒâ€”V matrix; O(1) edge lookup O(VÃ‚Â²) space,PROGRAMMING,Structures,Concept,Core
Union-Find (Disjoint Set),Data structure tracking elements partitioned into disjoint sets,PROGRAMMING,Structures,Concept,Core
Topological Sort,Linear ordering of vertices where dependencies precede dependents,PROGRAMMING,Algorithms,Concept,Core
Dijkstra's Algorithm,Shortest path algorithm for graphs with non-negative edge weights,PROGRAMMING,Algorithms,Concept,Core
Quick Sort,Divide-and-conquer sort using pivot; O(n log n) average O(nÃ‚Â²) worst,PROGRAMMING,Algorithms,Concept,Core
Merge Sort,Stable divide-and-conquer sort; O(n log n) guaranteed O(n) space,PROGRAMMING,Algorithms,Concept,Core
Heap Sort,In-place sort using heap; O(n log n) guaranteed,PROGRAMMING,Algorithms,Concept,Core
Counting Sort,Non-comparison sort for integers in known range; O(n+k) time,PROGRAMMING,Algorithms,Concept,Advanced
Backtracking,Algorithm pattern trying choices recursively and undoing on failure,PROGRAMMING,Algorithms,Concept,Advanced
Bloom Filter,Probabilistic structure for set membership; space-efficient with false positives,PROGRAMMING,Structures,Concept,Advanced
B-Tree,Self-balancing tree for databases/filesystems; optimized for disk access,PROGRAMMING,Structures,Concept,Core
B+ Tree,B-Tree variant with all data in leaves; used in database indexes,PROGRAMMING,Structures,Concept,Core
LSM Tree (Log-Structured Merge),Write-optimized structure used in databases (Cassandra RocksDB),PROGRAMMING,Structures,Concept,Advanced
Skip List,Probabilistic structure with O(log n) search insert delete,PROGRAMMING,Structures,Concept,Advanced
Consistent Hashing,Hashing technique minimizing redistribution when nodes added/removed,PROGRAMMING,Algorithms,Concept,Advanced
Merkle Tree,Hash tree for efficient data integrity verification,PROGRAMMING,Structures,Concept,Advanced
HyperLogLog,Probabilistic algorithm for cardinality estimation with minimal memory,PROGRAMMING,Algorithms,Concept,Advanced
Count-Min Sketch,Probabilistic structure for frequency estimation in streaming data,PROGRAMMING,Algorithms,Concept,Advanced
Reservoir Sampling,Algorithm for random sampling from stream of unknown size,PROGRAMMING,Algorithms,Concept,Advanced
Ring Buffer (Circular Buffer),Fixed-size buffer wrapping around; used in streaming and logging,PROGRAMMING,Structures,Concept,Advanced
Percentile,Value below which given percentage of observations fall,PROGRAMMING,Complexity,Concept,Core
Amortized Analysis,Averaging time over sequence of operations for complexity analysis,PROGRAMMING,Complexity,Concept,Advanced
Closure,Function that retains access to variables from its enclosing scope,PROGRAMMING,Algorithms,Concept,Core
Generics,Parameterized types enabling type-safe reusable code across types,PROGRAMMING,Structures,Concept,Core
Higher-Order Function,Function that takes functions as arguments or returns a function,PROGRAMMING,Algorithms,Concept,Core
Type Safety,Catching type errors at compile time; static typing to prevent misuse,PROGRAMMING,Algorithms,Concept,Core
Docker,Container platform for packaging applications with dependencies,CLOUD,Infrastructure,Technology,Core
Helm,Package manager for Kubernetes using charts for deployment,CLOUD,Infrastructure,Technology,Advanced
Pod,Smallest deployable unit in Kubernetes containing one or more containers,CLOUD,Infrastructure,Concept,Core-N
Node (Kubernetes),Worker machine in Kubernetes cluster running pods,CLOUD,Infrastructure,Concept,Core-N
Namespace (Kubernetes),Virtual cluster within Kubernetes for resource isolation,CLOUD,Infrastructure,Concept,Core-N
Ingress,Kubernetes resource managing external HTTP/HTTPS access to services,CLOUD,Infrastructure,Technology,Advanced
ConfigMap,Kubernetes object storing non-sensitive configuration as key-value pairs,CLOUD,Infrastructure,Concept,Core-N
Secret (Kubernetes),Kubernetes object storing sensitive data like passwords and tokens,CLOUD,Infrastructure,Concept,Core-N
PVC (Persistent Volume Claim),Request for storage in Kubernetes; abstracts storage provisioning,CLOUD,Infrastructure,Concept,Core-N
HPA (Horizontal Pod Autoscaler),Kubernetes controller automatically scaling pods based on metrics,CLOUD,Infrastructure,Technology,Advanced
Multi-Region Deployment,Distributing application across geographic regions for resilience,CLOUD,Resilience,Pattern,Advanced
Failover,Automatic switching to redundant system when primary fails,CLOUD,Resilience,Practice,Core
Auto-Scaling,Automatically adjusting compute resources based on demand,CLOUD,Resilience,Technology,Core
Reserved Instances,Discounted cloud compute with commitment to usage period,CLOUD,Services,Concept,Advanced
Spot Instances,Discounted cloud compute using spare capacity; can be interrupted,CLOUD,Services,Concept,Advanced
Tagging Strategy,Systematic approach to labeling cloud resources for cost tracking and governance,CLOUD,Services,Practice,Advanced
Resource Group,Logical container for grouping related cloud resources,CLOUD,Infrastructure,Concept,Core-N
Availability Zone,Isolated location within cloud region for fault tolerance,CLOUD,Resilience,Concept,Core
Region (Cloud),Geographic area containing multiple data centers,CLOUD,Resilience,Concept,Core
Edge Computing,Processing data near source rather than centralized data center,CLOUD,Infrastructure,Concept,Core
Cold Storage,Low-cost storage tier for infrequently accessed data,CLOUD,Services,Concept,Advanced
Hot Storage,High-performance storage tier for frequently accessed data,CLOUD,Services,Concept,Advanced
Object Storage,Cloud storage for unstructured data accessed via HTTP (S3 Blob),CLOUD,Services,Technology,Core
Block Storage,Cloud storage providing raw volumes attachable to compute instances,CLOUD,Services,Technology,Core
Blast Radius,Scope of impact when a component fails or is compromised,CLOUD,Infrastructure,Concept,Advanced
CaaS (Containers as a Service),Managed container runtime and orchestration by cloud provider,CLOUD,Services,Concept,Core
CIDR (IP Range Notation),Classless inter-domain routing; subnet notation (e.g. 10.0.0.0/24),CLOUD,Networking,Concept,Core
Cloud Native,Designed for cloud from the start; containers microservices dynamic orchestration,CLOUD,Infrastructure,Concept,Core
Cloud Sprawl,Uncontrolled proliferation of cloud resources leading to cost and governance risk,CLOUD,Services,Concept,Advanced
Control Plane,API layer that manages and provisions cloud resources; distinct from data plane,CLOUD,Infrastructure,Concept,Core
Data Plane,Path where user and workload traffic flows; distinct from control plane,CLOUD,Infrastructure,Concept,Core
East-West Traffic,Traffic between resources within the cloud (internal service-to-service),CLOUD,Networking,Concept,Core
FaaS (Functions as a Service),Event-driven serverless function execution (Lambda Azure Functions),CLOUD,Services,Technology,Core
Geo-Redundancy,Replication of data or workloads across geographic locations for resilience,CLOUD,Resilience,Concept,Core
Hub-and-Spoke,Network topology with central hub and connected spoke networks for transit,CLOUD,Networking,Pattern,Core
Hybrid Cloud,Combination of on-premises or private cloud with public cloud services,CLOUD,Resilience,Concept,Core
IaaS (Infrastructure as a Service),Cloud provision of VMs storage networking; customer manages OS and above,CLOUD,Services,Concept,Core
Landing Zone,Secure scalable baseline for cloud accounts governance and compliance,CLOUD,Infrastructure,Concept,Core
Multi-Cloud,Use of multiple public cloud providers for workload distribution and flexibility,CLOUD,Resilience,Concept,Core
North-South Traffic,Traffic between external users or networks and cloud boundary,CLOUD,Networking,Concept,Core
PaaS (Platform as a Service),Cloud platform for developing and running applications; provider manages runtime,CLOUD,Services,Concept,Core
Shared Responsibility Model,Division of security obligations between cloud provider and customer,CLOUD,Resilience,Concept,Core
VNet Peering,Direct private connectivity between two virtual networks without public internet,CLOUD,Networking,Technology,Core
Cloud Governance,Framework of policies controls and compliance for cloud resource use,CLOUD,Services,Practice,Core
Lift-and-Shift,Rehosting workload to cloud with minimal changes (rehost migration),CLOUD,Infrastructure,Practice,Core
Private Endpoint,Private IP in VNet for secure PaaS access without public internet,CLOUD,Networking,Technology,Core
Availability Set,Azure placement of VMs across fault domains to reduce single-point failure,CLOUD,Infrastructure,Concept,Core-N
Azure App Service,PaaS for web APIs and mobile backends; scaling and deployment slots,CLOUD,Services,Technology,Core-N
Azure Cosmos DB,Globally distributed multi-model database with tunable consistency levels,CLOUD,Services,Technology,Core-N
Azure Key Vault,Managed service for secrets certificates and encryption keys,CLOUD,Services,Technology,Core-N
Azure Monitor,Unified observability for metrics logs and alerts across Azure resources,CLOUD,Services,Technology,Core-N
Azure Synapse Analytics,Unified analytics (warehouse Spark pipelines) for enterprise data,CLOUD,Services,Technology,Core-N
Cold Start,Delay when serverless or scaled-down app starts; impacts latency and SLAs,CLOUD,Services,Concept,Core
Consistency Level,Tradeoff between read consistency and availability/latency (e.g. Cosmos DB),CLOUD,Services,Concept,Advanced
Deployment Slot,Staging env for App Service; swap with production for zero-downtime deploy,CLOUD,Services,Concept,Core-N
Managed Identity (Azure),Identity for resources to access other services without storing secrets,CLOUD,Services,Concept,Core-N
VMSS (Virtual Machine Scale Set),Azure auto-scaling group of identical VMs behind load balancer,CLOUD,Infrastructure,Technology,Core-N
Azure Blob Storage,Azure object storage for unstructured data; Hot Cool Archive tiers,CLOUD,Services,Technology,Core-N
Azure Database for PostgreSQL,Managed PostgreSQL on Azure; Flexible Server or single server options,CLOUD,Services,Technology,Core-N
Azure Files,Managed file shares (SMB/NFS) for lift-and-shift or shared storage,CLOUD,Services,Technology,Core-N
Azure SQL Database,Managed SQL Server-compatible RDBMS on Azure; PaaS with HA and scaling,CLOUD,Services,Technology,Core-N
Managed Database,Provider handles patching backup and HA; lower ops burden less control,CLOUD,Services,Concept,Core
Self-Managed Database,Customer runs DB on VMs or IaaS; full control higher ops and responsibility,CLOUD,Services,Concept,Core
Accused,Person charged with a criminal offence; also called defendant,JUSTICE,Charges,Concept,Core
Acquittal,Court finding of not guilty; accused is free without restrictions,JUSTICE,Court,Concept,Core
Appearance Notice,Document requiring accused to appear in court at set time and place,JUSTICE,Charges,Concept,Core
Arraignment,Court proceeding where accused is read the charge and enters a plea,JUSTICE,Court,Process,Core
Arrest,Taking a person into custody by police for a criminal offence,JUSTICE,Policing,Process,Core
Arrest Warrant,Court order authorizing police to arrest the named person and bring to court,JUSTICE,Policing,Concept,Core
Bail,Release from custody while awaiting trial or appeal subject to conditions,JUSTICE,Bail,Concept,Core
Bail Conditions,Terms accused must follow when released on bail (e.g. no contact curfew),JUSTICE,Bail,Concept,Core
Bail Hearing,Proceeding where judge or JP decides if accused is released or detained,JUSTICE,Bail,Process,Core
Bench Warrant,Warrant issued when accused fails to appear for court or hearing,JUSTICE,Court,Concept,Core
Charge,Formal accusation that a person committed a criminal offence,JUSTICE,Charges,Concept,Core
Crown,Prosecutor representing the state in criminal proceedings (Ontario),JUSTICE,Court,Role,Core
Detention,Holding a person in custody; can follow arrest or occur without arrest,JUSTICE,Policing,Concept,Core
Federal Custody,Sentence of two years or more served in federal penitentiary,JUSTICE,Corrections,Concept,Core
Hybrid Offence,Offence Crown may prosecute as summary or indictable (e.g. assault),JUSTICE,Charges,Concept,Core
